file	line	literal
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1002	"내성: 참격 "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1003	" 突"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1003	" 관통 "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1004	" 打"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1004	" 타격 "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1005	"混乱耐性: 斩"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1005	"흐트러짐 내성: 참격 "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1006	" 突"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1006	" 관통 "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1007	" 打"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1007	" 타격 "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1010	"被动:"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1010	"패시브:"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1106	"耐性"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1106	"취약"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1108	"一般"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1108	"보통"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1110	"耐受"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1110	"내성"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1112	"免疫"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1112	"면역"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1114	"脆弱"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1114	"치명"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1358	"本分类暂无条目（异想体/EGO 需游玩或解放战后解锁）。"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1360	"이 분류에 항목이 없습니다(환상체/E.G.O.는 플레이 또는 개방전 후 해금)."
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1363	"本节暂无条目，请点左侧「全部」或切换分类。"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1365	"이 단계에 항목이 없습니다. 왼쪽 \"전체\" 또는 다른 분류를 선택하세요."
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1706	"升级预览"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1706	"강화 미리보기"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1708	"费用: "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1708	"비용: "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1709	"章节: "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1709	"장: "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1729	"骰子:"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1729	"주사위:"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1746	"斩击"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1746	"참격"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1748	"突刺"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1748	"관통"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1750	"打击"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1750	"타격"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1752	"防御"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1752	"방어"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1754	"闪避"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1754	"회피"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2070	"全部"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2070	"전체"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2072	"传闻"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2072	"소문"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2075	"都市怪谈"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2075	"도시괴담"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2078	"都市传说"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2078	"도시전설"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2080	"都市恶疾"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2080	"도시질병"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2082	"都市梦魇"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2082	"도시악몽"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2084	"都市之星"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2084	"도시의 별"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2086	"杂质"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2086	"불순물"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2095	"角色书页"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2095	"핵심 책장"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2097	"战斗书页"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2097	"전투 책장"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2099	"异想体书页"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2099	"환상체 책장"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2101	"EGO战斗书页"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2101	"E.G.O. 전투 책장"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2103	"EGO战斗书页"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2103	"E.G.O. 전투 책장"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2200	"未解锁"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2200	"미해금"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2279	"尚未解锁。"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	2279	"아직 해금되지 않았습니다."
abcdcode_LOGLIKE_MOD\LogLikeMod.cs	5397	"귀속된 책장입니다."
abcdcode_LOGLIKE_MOD\LogLikeMod.cs	5400	"중고층에서 장착중인 책장입니다."
abcdcode_LOGLIKE_MOD\LogLikeMod.cs	5411	"장착 불가 책장"
abcdcode_LOGLIKE_MOD\LogLikeMod.cs	5466	"중고층에서 장착중인 책장입니다."
abcdcode_LOGLIKE_MOD\LogueBookModels.cs	1047	"异想体战斗"
abcdcode_LOGLIKE_MOD\PassiveAbility_230016Log.cs	25	"토머리 전용"
abcdcode_LOGLIKE_MOD\PassiveAbility_230028Log.cs	22	"필립 전용"
abcdcode_LOGLIKE_MOD\PassiveAbility_240008Log.cs	29	"매 막 마다 손과 덱에 있는 모든 책장을 소멸시키고 사용할 책장을 손에 추가. 모든 책장의 비용이 0이 됨."
abcdcode_LOGLIKE_MOD\PassiveAbility_240508Log.cs	15	"막 종료시 에마와 합쳐짐"
abcdcode_LOGLIKE_MOD\PassiveAbility_Chapter2Boss.cs	12	"감정 단계가 2 이상일때 막 시작 시 책장을 1장 추가로 뽑고 속도 주사위 + 1"
abcdcode_LOGLIKE_MOD\PassiveAbility_Chapter2Rat.cs	12	"일방공격 시 피해량 + 1"
abcdcode_LOGLIKE_MOD\PassiveAbility_Chapter3Boss.cs	12	"감정 단계가 2 이상일때 막 시작 시 책장을 1장 추가로 뽑고 속도 주사위 + 1"
abcdcode_LOGLIKE_MOD\PassiveAbility_Mystery1_4_Sweeper.cs	15	"3막 후 뒷골목의 밤이 끝남"
abcdcode_LOGLIKE_MOD\PassiveAbility_Mystery3_1_1.cs	16	"자신과 소속이 다른 모두를 공격 대상으로 삼음"
abcdcode_LOGLIKE_MOD\PassiveAbility_Mystery3_1_2.cs	16	"자신과 소속이 다른 모두를 공격 대상으로 삼음"
abcdcode_LOGLIKE_MOD\PassiveAbility_Mystery4_2_1.cs	12	"모든 주사위 위력 + 1"
abcdcode_LOGLIKE_MOD\PassiveAbility_Mystery4_3_1.cs	20	"일방 공격을 받지 않음. 내 주사위를 모두 소모하면 강제 합 종료. 3막 뒤에 전투가 끝남"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassive1.cs	17	"1막에 위력 +1"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassive19.cs	16	"막 시작 시 무작위 내성 하나가 '면역' 상태가 됨"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassive1_1.cs	12	"출혈이 부여된 적을 처치하면 추가로 1안과 뜬소문 전투책장 보상 1개를 획득함"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassive1_3.cs	13	"막 시작 시 행운 1을 얻음. 책장을 사용할때마다 체력을 1 잃음"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassive1_4.cs	15	"뜬소문 등급 혹은 현재 챕터보다 이전 등급의 책장을 사용하면 이번막에 모든 주사위 최대값 + 2"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassive2.cs	17	"2막에 위력 +2"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassive26.cs	14	"피해를 받으면 생명력을 1 회복함(막 당 최대 5)"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassive2_1.cs	12	"적을 처치하면 모든 아군의 생명력 3 회복"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassive2_2.cs	24	"무대 시작 시 무작위 다른 아군 하나에게 가로등 효과를 부여함. 막 시작 시 대상이 사망한 상태면 무작위 다른 아군 하나에게 다시 부여함. \n (가로등: 막 시작 시 행운 2를 얻음. '가로등' 지속능력을 가진 사서가 사망시 효과가 사라짐)"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassive3.cs	17	"3막에 위력 +3"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassive3_3.cs	17	"매 전투마다 처음으로 버려지는 책장을 획득"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassive4.cs	17	"4막에 위력 +4"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassive45.cs	16	"막 시작 시 50% 확률로 속도 주사위 슬롯 + 1(중복 불가)"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassive5.cs	17	"5막에 위력 +5"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassive7.cs	13	"이전 챕터의 책장을 사용시 모든 주사위 위력 + 1. 이전 챕터 단계당 위력이 추가로 1 증가"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveLogic1.cs	17	"막 종료 시 손에 원거리 책장이 없다면 원거리 책장 2장을 뽑음"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveLogic10.cs	17	"이전 막에 원거리 책장을 사용하지 않았다면 이번막에 원거리 주사위 위력 + 2"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveLogic11.cs	17	"원거리 책장을 사용하면 반격 주사위(방어,3~9)를 추가함.(막 당 1회)"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveLogic2.cs	20	"원거리 책장으로 근접 책장과 합할때 내 책장의 주사위를 모두 소모했다면 합을 강제로 종료함(막당 1회)"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveLogic3.cs	13	"첫 막에 속도 주사위 + 1"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveLogic6.cs	17	"무대 시작 시 덱의 가장 첫번째 원거리 책장을 복사해 손으로 가져옴"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveLogic7.cs	21	"원거리 책장으로 적 처치 시 책장에 남은 공격 주사위가 있다면 무작위 적에게 남은 주사위를 일방공격으로 재사용"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveLogic8.cs	13	"원거리 책장으로 일방 공격 시 피해량 + 3"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveLogic9.cs	12	"원거리 공격 주사위에 행운 1 적용"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveMook1.cs	12	"책장의 첫 공격 주사위 위력 + 2. 나머지 주사위 위력 - 1"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveMook2.cs	16	"책장의 첫 공격 주사위는 공격 속성에 상관없이 적 내성을 '취약'으로 적용(면역이라면 미적용)"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveMook3.cs	12	"내 체력이 50% 미만일때 피해량 + 2. 적 체력이 50% 미만이면 피해량 + 2"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveMook4.cs	12	"일방 공격 시 반격 주사위를 무시함"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveMook5.cs	13	"책장의 첫 공격 주사위로 적 처치 시 해당 주사위와 같은 반격 주사위 획득"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveMook6.cs	14	"공격 주사위 하나로 최대 체력의 10% 또는 15 이상의 피해를 입히면 다음 막에 출혈 5, 마비 2 부여"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveMook8.cs	18	"책장의 첫 공격 주사위 합 승리 시 합 종료 후 해당 주사위를 일방공격으로 재사용(막당 1회)"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveMook9.cs	19	"빛이 부족해도 대신 비용*3 만큼 흐트러짐 저항을 소모해 책장 사용 가능"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveStigma2.cs	12	"전투 책장으로 적에게 화상을 부여하면 4막 후에 부여한 수치만큼 다시 화상을 부여함"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveStigma3.cs	12	"자신에게 화상이 있는 동안 다른 상태이상에 면역"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveStigma5.cs	15	"내 화상이 사라질때 이번 전투에서 얻었던 최대 화상수치만큼 체력을 회복함"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveStigma6.cs	12	"화상 상태의 적에게 공격 적중 시 즉시 화상 피해를 입힘"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveStigma7.cs	12	"전투책장 사용 시 해당 전투책장의 원래 비용만큼 적에게 화상을 부여(비용이 0인 책장이라면 대신 1 부여)"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveStigma8.cs	12	"접대 시작 시 '발화' 전투책장을 손으로 가져옴. 해당 책장 사용 시 지정한 대상에게 화상 5 부여"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveStigma9.cs	13	"자신에게 화상이 있다면 일방공격 대상이 되었을때 자신에게 있는 화상 수치만큼 적에게 화상 부여"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveUnion1.cs	13	"(다른 생체무기와 중복 불가) 막 시작 시 체력을 5% 잃음. 입힌 피해의 25%를 회복함"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveUnion10.cs	19	"이전 전투에서 사용했던 전투 책장 사용 시 최대값 + 1. 행운 1 적용"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveUnion2.cs	15	"(다른 생체무기와 중복 불가) 막 시작 시 체력을 5% 잃음. 공격 주사위 적중 시 출혈 2 부여. 출혈을 부여할때마다 부여한 출혈만큼 피해를 입힘"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveUnion3.cs	16	"(다른 생체무기와 중복 불가) 막 시작 시 체력을 5% 잃음. 모든 주사위 최대값 + 3~5"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveUnion4.cs	15	"(다른 생체무기와 중복 불가) 막 시작 시 체력을 5% 잃음. 행운을 2 얻음"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveUnion5.cs	16	"(다른 생체무기와 중복 불가) 막 시작 시 체력을 5% 잃음. 합 패배 시 현재 주사위를 재사용(주사위 당 1번)"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveUnion6.cs	19	"(다른 생체무기와 중복 불가) 막 시작 시 체력을 5% 잃음. 근접 책장으로 일방공격을 당할 시 합을 즉시 종료시킴(막당 최대 2회)"
abcdcode_LOGLIKE_MOD\PassiveAbility_ShopPassiveUnion9.cs	12	"흐트러짐 상태가 되면 현재 체력의 25%를 잃고 흐트러짐 상태에서 벗어남"
abcdcode_LOGLIKE_MOD\UnionWeaponPassiveAbilityBase.cs	13	"막 시작 시 체력 5% 잃음"
abcdcode_Refactored\DiceCardSelfAbility_choiceTest_0.cs	13	"[장착 시 발동] 전투 책장 1개를 얻음"
abcdcode_Refactored\LogLikePatches.cs	209	"[RMR] Atlas tab removed from prepare — open 图鉴 from start hub."
abcdcode_Refactored\LogLikePatches.cs	1633	"E.G.O. 책장 선택"
abcdcode_Refactored\LogLikePatches.cs	1637	"选择 E.G.O. 战斗书页"
