id,cn,en,kr
"ui_ExceptionWithLog","已检测到与RogueLike模组冲突的模组。","Mods that conflict with the RogueLike mod have been detected.","로그라이크 모드와 충돌하는 모드가 감지되었습니다."
"ui_Inventory","商品","Items","물품"
"ui_LogueLikeFloor","图书馆","Library","도서관"
"ui_Money","眼","Ahn","안"
"ui_Realization","解放战","Realization","층 개방전"
"ui_RestHide","隐藏","Hide","숨기기"
"ui_RestLeave","离开休息室","Leave Resting Room","서고 떠나기"
"ui_RestShow","返回","Return","돌아가기"
"ui_RMR_Atlas_Cat_Abno","异想体书页","Abnormality Pages","환상체 책장"
"ui_RMR_Atlas_Cat_BattleCard","战斗书页","Combat Pages","전투 책장"
"ui_RMR_Atlas_Cat_Ego","EGO战斗书页","E.G.O. Pages","E.G.O. 전투 책장"
"ui_RMR_Atlas_Cat_RoleBook","角色书页","Key Pages","핵심 책장"
"ui_RMR_Atlas_EmptyFlat","本分类暂无条目（异想体/EGO 需游玩或解放战后解锁）。","No entries in this category (abnormality / E.G.O. unlock via play or realization).","이 분류에 항목이 없습니다(환상체/E.G.O.는 플레이 또는 개방전 후 해금)."
"ui_RMR_Atlas_EmptySection","本节暂无条目，请点左侧「全部」或切换分类。","No entries in this stage. Try ""All"" or another category.","이 단계에 항목이 없습니다. 왼쪽 ""전체"" 또는 다른 분류를 선택하세요."
"ui_RMR_Atlas_Locked","未解锁","Locked","미해금"
"ui_RMR_Atlas_LockedHint","尚未解锁。","Not unlocked yet.","아직 해금되지 않았습니다."
"ui_RMR_Atlas_Progress","获得阶段","Acquisition Stage","획득 단계"
"ui_RMR_Atlas_Res_Endure","耐受","Endured","내성"
"ui_RMR_Atlas_Res_Immune","免疫","Immune","면역"
"ui_RMR_Atlas_Res_Normal","一般","Normal","보통"
"ui_RMR_Atlas_Res_Vulnerable","脆弱","Fatal","치명"
"ui_RMR_Atlas_Res_Weak","耐性","Weak","취약"
"ui_RMR_Atlas_Sec_All","全部","All","전체"
"ui_RMR_Atlas_Sec_Impurity","杂质","Impurity","불순물"
"ui_RMR_Atlas_Sec_Rumor","传闻","Canard","소문"
"ui_RMR_Atlas_Sec_UrbanIllness","都市恶疾","Urban Plague","도시질병"
"ui_RMR_Atlas_Sec_UrbanLegend","都市怪谈","Urban Myth","도시괴담"
"ui_RMR_Atlas_Sec_UrbanMyth","都市传说","Urban Legend","도시전설"
"ui_RMR_Atlas_Sec_UrbanNightmare","都市梦魇","Urban Nightmare","도시악몽"
"ui_RMR_Atlas_Sec_UrbanStar","都市之星","Star of the City","도시의 별"
"ui_RMR_Atlas_ShowUpgraded","显示升级版","Show upgraded","강화판 표시"
"ui_RMR_Atlas_Title","永久图鉴","Permanent Compendium","영구 도감"
"ui_RMR_Atlas_Unlocked","已解锁","Unlocked","해금"
"ui_RMR_Atlas_UpgradePreview","升级预览","Upgrade preview","강화 미리보기"
"ui_RMR_BookInventoryEmpty","当前层限制：没有可显示的核心书页（更高章节已过滤）。","Floor limit: no key pages to show (higher chapter filtered).","층 제한: 표시할 핵심 책장이 없습니다 (상위 챕터 필터됨)."
"ui_RMR_ConfirmStartNewRun","您确定要开始新的路线吗？保存的存档将被覆盖。","Start a new run? The saved run will be overwritten.","새 여정을 시작할까요? 저장된 여정이 덮어쓰입니다."
"ui_RMR_ContinueFailed","无法继续 Roguelike 旅程。存档可能缺失或已过期。","Failed to continue the Roguelike run. The save may be missing or outdated.","로그라이크 이어하기에 실패했습니다. 저장 데이터가 없거나 오래되었을 수 있습니다."
"ui_RMR_ContinueLoadFailed","继续失败：存档未能完整加载。请尝试新开局，或完全重启游戏后再进入。","Continue failed: save data could not be fully loaded. Try New Run, or re-enter after a full restart.","이어하기 실패: 저장 데이터를 완전히 불러오지 못했습니다. 새 여정을 시도하거나 게임을 완전히 재시작한 뒤 다시 들어와 주세요."
"ui_RMR_ContinueRun","继续旅程","Continue Run","이어하기"
"ui_RMR_ContinueRunDesc","在玩法选择中继续之前的 Roguelike 路线（有存档时显示）。","Continue a previous Roguelike run from the mode-select hub (shown when a save exists).","시작 메뉴에서 이전 로그라이크 여정을 이어합니다(저장 데이터가 있을 때 표시)."
"ui_RMR_Floor_Binah","哲学","Philosophy","철학"
"ui_RMR_Floor_Chesed","社会","Social","사회"
"ui_RMR_Floor_Gebura","语言","Language","언어"
"ui_RMR_Floor_Hod","文学","Lit","문학"
"ui_RMR_Floor_Hokma","宗教","Religion","종교"
"ui_RMR_Floor_Keter","总类","General","총류"
"ui_RMR_Floor_Malkuth","历史","History","역사"
"ui_RMR_Floor_Netzach","艺术","Art","예술"
"ui_RMR_Floor_Tiphereth","自然","Natural","자연"
"ui_RMR_Floor_Yesod","科技","Tech","기술"
"ui_RMR_Help_Body_AbnoEgo","正常游玩获得的异想体书页也会写入永久图鉴，供解放战选页使用。图鉴中异想体与 E.G.O. 不按都市章节分段，直接展示。","Normal-run abnormality pages are also saved to the permanent compendium for realization picks. Abnormality and E.G.O. tabs are flat lists without urban-chapter sections.","일반 런에서 얻은 환상체 책장도 영구 도감에 기록되어 개방전 선택에 쓰입니다. 도감의 환상체/E.G.O.는 도시 등급 구분 없이 바로 표시됩니다."
"ui_RMR_Help_Body_Atlas","【记录内容】&#10;战斗过程中获得的核心书页、战斗书页、异想体书页与 E.G.O.战斗书页都会记录在永久图鉴中，升级后的战斗书页效果也会同步记录。&#10;&#10;【查看与收集】&#10;玩家可以随时通过图鉴查看已收集内容的具体效果与当前升级状态。&#10;&#10;【玩法用途】&#10;图鉴不仅用于收藏，也会影响解放战与部分特殊关卡中可选择的书页。永久图鉴与当前路线库存彼此独立，新路线不会自动获得图鉴中的全部内容。&#10;&#10;【路线存档】&#10;队伍配置、库存、金币、章节进度与剩余节点只属于当前旅程；图鉴、解放战与特殊 Boss 首通记录则跨旅程保留。开局菜单只会在存在有效路线存档时显示“继续”。","[Recorded content]&#10;Key pages, combat pages, abnormality pages, and E.G.O. combat pages obtained during play are recorded permanently. Upgraded combat-page effects are recorded as well.&#10;&#10;[Viewing]&#10;Use the Compendium to review collected effects and current upgrade states.&#10;&#10;[Gameplay use]&#10;Compendium unlocks determine the pages available in realizations and some special stages. The permanent Compendium remains separate from current-run inventory.&#10;&#10;[Run saves]&#10;Team setup, inventory, money, chapter progress, and remaining nodes belong only to the current journey. Compendium, realization, and special-boss first-clear records persist. Continue appears only when a valid run save exists.","【기록 항목】&#10;플레이 중 얻은 핵심 책장, 전투 책장, 환상체 책장, E.G.O. 전투 책장과 강화 효과가 영구 도감에 기록됩니다.&#10;&#10;【열람】&#10;도감에서 수집한 효과와 현재 강화 상태를 확인할 수 있습니다.&#10;&#10;【게임플레이 용도】&#10;도감은 개방전과 일부 특수 스테이지에서 선택 가능한 책장을 결정합니다. 영구 도감과 현재 루트 보유 물품은 서로 별개입니다.&#10;&#10;【루트 저장】&#10;팀 편성, 보유 물품, 돈, 챕터 진행과 남은 노드는 현재 여정에만 속합니다. 도감, 개방전, 특수 보스 첫 클리어 기록은 계속 유지됩니다. 유효한 루트 저장이 있을 때만 이어하기가 표시됩니다."
"ui_RMR_Help_Body_Goal","【核心目标】&#10;本玩法并不是单纯重复原版接待，而是在每次流程中不断选择、取舍与构筑。&#10;&#10;【构筑方向】&#10;你需要在获取新的战斗书页与核心书页、收集异想体书页、购买被动与其他补给、强化已有书页、挑战解放战、解锁特殊角色与 E.G.O.、完善 Boss 战构筑之间权衡资源。&#10;&#10;【重复游玩】&#10;随着流程推进，玩家能够使用的书页、资源与特殊角色会逐步增加，并在每次旅程中形成不同的队伍与战斗方式。","[Core goal]&#10;RMR is not simply a sequence of base-game receptions. Every run asks you to choose, trade off, and build.&#10;&#10;[Build directions]&#10;Balance new combat and key pages, abnormality pages, passives and other supplies, upgrades, realizations, special characters, E.G.O., and preparation for later bosses.&#10;&#10;[Replay]&#10;As the run advances, available pages, resources, and special characters expand, letting each journey produce a different team and combat style.","【핵심 목표】&#10;RMR은 원작 접대를 단순 반복하는 것이 아니라 매 여정마다 선택하고 자원을 배분해 빌드를 만드는 모드입니다.&#10;&#10;【빌드 방향】&#10;새 전투/핵심 책장, 환상체 책장, 패시브와 보급, 강화, 개방전, 특수 캐릭터, E.G.O., 후반 보스 준비 사이에서 자원을 배분하세요.&#10;&#10;【반복 플레이】&#10;진행할수록 사용할 수 있는 책장, 자원, 특수 캐릭터가 늘어나 매 여정에서 서로 다른 팀과 전투 방식을 만들 수 있습니다."
"ui_RMR_Help_Body_Overview","【核心结构】&#10;本模组采用漏斗式关卡分布。前期资源较少、战斗压力较低、流程更紧凑，帮助玩家快速完成初期构筑；随着流程推进，关卡数量、敌人强度与构筑要求逐步提高，奖励种类和质量也会随之变化。&#10;&#10;【路线选择】&#10;玩家需要在普通战斗、异想体战斗、Boss 战、商店、休息与特殊事件之间选择下一站，并根据当前队伍、书页构筑和资源规划后续路线。&#10;&#10;【节点与楼层】&#10;第一、第二章不会生成异想体战斗节点，相关位置会改为休息节点。准备界面切换楼层只会改变地图主题与背景音乐，不会改变队伍，也不消耗接待次数。&#10;&#10;【旅程终点】&#10;每次流程都会从较低都市阶段逐步推进。击败章节 Boss 后进入下一阶段，最终击败杂质阶段 Boss 即完成本次旅程。","[Core structure]&#10;RMR uses a funnel-shaped route. Early stages are short and relatively forgiving while resources are scarce; later stages expand the route, strengthen enemies, and demand a more complete build while offering broader and better rewards.&#10;&#10;[Route choices]&#10;Choose among normal battles, abnormality battles, bosses, shops, rests, and mysteries according to your team, pages, and resources.&#10;&#10;[Nodes and floors]&#10;Chapters 1 and 2 replace abnormality-battle nodes with rests. Switching floors in preparation only changes the map theme and music; it does not change the team or consume a reception.&#10;&#10;[Journey's end]&#10;Defeating each chapter boss advances the run. Defeating the Impuritas Civitatis boss completes the journey.","【핵심 구조】&#10;RMR은 깔때기형 루트를 사용합니다. 자원이 적은 초반은 짧고 비교적 부담이 낮지만, 진행할수록 루트와 적이 강해지고 더 완성된 빌드를 요구하는 대신 보상의 종류와 품질도 높아집니다.&#10;&#10;【루트 선택】&#10;일반 전투, 환상체 전투, 보스, 상점, 휴식, 이벤트 중 현재 팀과 자원에 맞는 다음 목적지를 선택합니다.&#10;&#10;【노드와 층】&#10;1·2장은 환상체 전투 노드 대신 휴식 노드가 등장합니다. 준비 화면에서 층을 바꾸면 지도 테마와 음악만 바뀌며 팀이나 접대 횟수에는 영향을 주지 않습니다.&#10;&#10;【여정의 끝】&#10;각 챕터 보스를 쓰러뜨리면 다음 단계로 진행하며, 불순물 보스를 쓰러뜨리면 여정이 끝납니다."
"ui_RMR_Help_Body_Realization","【图鉴限制】&#10;解放战中的核心书页、战斗书页、异想体书页与 E.G.O.战斗书页，都必须从永久图鉴已经收集的内容中选取；未记录的书页不能直接使用。&#10;&#10;【章节限制】&#10;历史、艺术、科技与文学层解放战只能使用都市梦魇及以下章节的战斗书页与核心书页，以保留对应阶段的构筑体验。&#10;&#10;【首次通关奖励】&#10;首次完成某层解放战后，该层专属异想体书页会加入后续关卡掉落池，对应 E.G.O.战斗书页会在满足条件的 Boss 战后出现。已经通关的楼层可以再战，但不会重复发放首通奖励。&#10;&#10;【临时编队】&#10;解放战使用临时编队，战后会恢复正常路线配置，不会污染当前旅程。","[Compendium limit]&#10;All key, combat, abnormality, and E.G.O. pages used in a realization must already be recorded in the permanent Compendium.&#10;&#10;[Chapter limit]&#10;Malkuth, Netzach, Yesod, and Hod realizations only allow key and combat pages from Urban Nightmare or earlier.&#10;&#10;[First-clear rewards]&#10;A first clear adds that floor's exclusive abnormality pages to later reward pools and makes its E.G.O. eligible after suitable bosses. Replays do not repeat these rewards.&#10;&#10;[Temporary loadout]&#10;Realization teams are temporary; the normal-run setup is restored afterward.","【도감 제한】&#10;개방전의 핵심·전투·환상체·E.G.O. 책장은 모두 영구 도감에 기록된 항목만 사용할 수 있습니다.&#10;&#10;【챕터 제한】&#10;말쿠트·네짜흐·예소드·호드 개방전은 도시 악몽 이하의 핵심/전투 책장만 허용합니다.&#10;&#10;【첫 클리어 보상】&#10;첫 클리어는 해당 층 전용 환상체 책장을 이후 보상 풀에 추가하고 E.G.O.를 조건에 맞는 보스 보상으로 엽니다. 재도전은 첫 보상을 반복 지급하지 않습니다.&#10;&#10;【임시 편성】&#10;개방전 편성은 임시이며 종료 후 일반 루트 구성이 복구됩니다."
"ui_RMR_Help_Body_Rewards","【奖励种类】&#10;关卡奖励包括战斗书页、核心书页、异想体书页、被动能力与 E.G.O.战斗书页，不同关卡使用不同的奖励规则。&#10;&#10;【普通关卡】&#10;普通关卡可获得战斗书页、核心书页与异想体书页。异想体书页池会随流程阶段累积扩充：传闻至都市传说开放历史、艺术、科技、文学层；都市恶疾至都市梦魇追加语言、自然、社会层；都市之星至杂质再追加宗教、总类、哲学层。已进入池中的书页不会在后续阶段退出。&#10;&#10;【战斗书页与升级】&#10;战斗书页按“种类”获得，而不是按单张库存计算；升级也对整个书页种类生效。&#10;&#10;【情感选书与 E.G.O.】&#10;战斗中的异想体书页只会从当前路线已经拥有的内容中产生：队伍情感 1–2 对应 I 阶，3–4 对应 II 阶，5 对应 III 阶。页名后缀数字不是阶级；中途 E.G.O.同样只会出现当前路线已经拥有的内容。&#10;&#10;【异想体战斗】&#10;异想体战斗不提供战斗书页和核心书页，改为连续进行三次异想体书页选择，用于快速扩充收集并补足当前构筑。&#10;&#10;【Boss 战】&#10;Boss 战除普通基础奖励外，还可额外选择一项被动能力。完成对应楼层解放后，Boss 奖励还会加入该层专属异想体书页与 E.G.O.战斗书页。","[Reward types]&#10;Stages can award combat pages, key pages, abnormality pages, passives, and E.G.O. combat pages.&#10;&#10;[Normal stages]&#10;Normal stages award combat, key, and abnormality pages. The abnormality pool grows cumulatively: the early stages use Malkuth, Netzach, Yesod, and Hod; Urban Plague/Nightmare add Gebura, Tiphereth, and Chesed; Star of the City/Impuritas add Hokma, Keter, and Binah.&#10;&#10;[Combat page types]&#10;Combat pages are obtained and upgraded by type rather than as individual copies.&#10;&#10;[Emotion picks and E.G.O.]&#10;Mid-battle abnormality choices use only pages owned in the current route: team Emotion 1–2 selects tier I, 3–4 tier II, and 5 tier III. A page-name suffix is not its tier. Mid-battle E.G.O. choices are also limited to E.G.O. owned in the route.&#10;&#10;[Abnormality battles]&#10;These replace combat/key page rewards with three consecutive abnormality-page choices.&#10;&#10;[Boss battles]&#10;Bosses also offer a passive. Cleared realizations add their exclusive abnormality and E.G.O. pages to eligible boss rewards.","【보상 종류】&#10;스테이지는 전투 책장, 핵심 책장, 환상체 책장, 패시브, E.G.O. 전투 책장을 제공합니다.&#10;&#10;【일반 스테이지】&#10;일반 스테이지는 전투·핵심·환상체 책장을 제공합니다. 환상체 풀은 진행에 따라 누적 확장됩니다. 초반에는 말쿠트·네짜흐·예소드·호드, 도시 질병/악몽에는 게부라·티페리트·헤세드, 도시의 별/불순물에는 호크마·케테르·비나가 추가됩니다.&#10;&#10;【전투 책장 종류】&#10;전투 책장은 개별 장수가 아니라 종류 단위로 획득하고 강화합니다.&#10;&#10;【감정 선택과 E.G.O.】&#10;전투 중 환상체 선택은 현재 루트에서 보유한 책장만 사용합니다. 팀 감정 1–2는 I단계, 3–4는 II단계, 5는 III단계이며 이름의 숫자는 단계가 아닙니다. E.G.O. 선택도 현재 루트에서 보유한 항목만 등장합니다.&#10;&#10;【환상체 전투】&#10;전투·핵심 책장 보상 대신 환상체 책장을 세 번 연속 선택합니다.&#10;&#10;【보스 전투】&#10;보스는 패시브를 추가로 제공하며, 완료한 개방전의 전용 환상체/E.G.O. 보상이 조건에 맞는 풀에 추가됩니다."
"ui_RMR_Help_Body_Route","每次完成当前节点后，你都可以从若干候选节点中选择下一站。不同路线会带来不同的战斗强度、奖励与风险。&#10;&#10;【普通战】稳定获取书页、被动和金币。&#10;&#10;【精英战】敌人更强，但奖励通常也更好。&#10;&#10;【Boss 战】击败章节 Boss 后进入下一章节，开放更高等级的敌人、奖励与商品。&#10;&#10;【异想体战】挑战异想体并获得对应书页。第一、第二章不会生成异想体战斗节点，相关位置由休息节点替代。&#10;&#10;【商店、休息与神秘事件】提供购买、恢复或特殊选择。击败杂质章节 Boss 后，本次旅程正式结束。","Choose the next stop after every encounter. Routes offer different combat pressure, rewards, and risks.&#10;&#10;Normal battles provide steady pages, passives, and money. Elite battles are harder but usually pay better. Boss victories advance the chapter and unlock stronger enemies, rewards, and goods. Abnormality battles award their pages; chapters one and two use rest nodes instead. Shops, rests, and mysteries provide purchases, recovery, or special choices. The Impuritas Civitatis boss ends the run.","현재 노드를 마칠 때마다 다음 목적지를 선택합니다. 루트마다 전투 난도, 보상, 위험이 다릅니다.&#10;&#10;일반 전투는 책장, 패시브, 돈을 안정적으로 제공합니다. 정예 전투는 더 어렵지만 보상이 좋습니다. 보스를 쓰러뜨리면 다음 챕터와 더 높은 등급의 적, 보상, 상품이 열립니다. 환상체 전투에서는 해당 책장을 얻으며 1·2장은 환상체 전투 대신 휴식 노드가 등장합니다. 상점, 휴식, 이벤트는 구매, 회복, 특별 선택을 제공합니다."
"ui_RMR_Help_Body_Shop","【可购买内容】&#10;商店可购买战斗书页、核心书页、被动能力、异想体书页与 E.G.O.战斗书页，并提供战斗书页升级。商品受到章节、楼层解放状态与当前库存影响。&#10;&#10;【战斗书页升级】&#10;商店提供战斗书页升级。由于战斗书页按种类获得，升级同样对整个书页种类生效，而不是只强化一张单独书页。&#10;&#10;【升级费用】&#10;首次升级需要 10 眼。每完成一次升级，下一次费用增加 2 眼：10 → 12 → 14 → 16……&#10;&#10;该数值仍可能根据资源获取速度、升级收益、商店频率、后期难度与不同构筑强度继续调整。","[Stock]&#10;Shops sell combat pages, key pages, passives, abnormality pages, and E.G.O. combat pages, and offer combat-page upgrades. Stock depends on the chapter, realization progress, and current inventory.&#10;&#10;[Combat page upgrades]&#10;Because combat pages are owned by type, an upgrade strengthens that page type rather than one individual copy.&#10;&#10;[Upgrade price]&#10;The first upgrade costs 10 Ahn. Each successful upgrade raises the next price by 2: 10 → 12 → 14 → 16… These values may still be tuned.","【판매 항목】&#10;상점에서는 전투 책장, 핵심 책장, 패시브, 환상체 책장, E.G.O. 전투 책장을 구매하고 전투 책장을 강화할 수 있습니다. 상품은 챕터, 개방 상태, 현재 보유 항목의 영향을 받습니다.&#10;&#10;【전투 책장 강화】&#10;전투 책장은 종류 단위로 보유하므로 강화도 개별 한 장이 아니라 해당 종류 전체에 적용됩니다.&#10;&#10;【강화 비용】&#10;첫 강화는 10안이며, 성공할 때마다 다음 비용이 2안씩 증가합니다: 10 → 12 → 14 → 16… 수치는 추후 조정될 수 있습니다."
"ui_RMR_Help_Body_Special","【殷红迷雾与 Binah】&#10;进入都市之星后，殷红迷雾有一定概率以特殊精英战形式出现。迎战时会暂时开放 Binah 的使用权限；胜利后 Binah 会加入图鉴，并可在后续战斗中继续使用。本场普通奖励则替换为殷红迷雾的核心书页与对应战斗书页。&#10;&#10;【漆黑噤默】&#10;首次通关以罗兰为 Boss 的杂质阶段后，漆黑噤默会加入图鉴。此后进入都市之星阶段时，其核心书页会自动加入本次路线的可用核心书页。&#10;&#10;【阿尔加利亚】&#10;首次通关以残响乐团为 Boss 的杂质阶段后，阿尔加利亚会加入图鉴。此后进入都市之星阶段时，其核心书页与对应战斗书页会自动加入本次路线。","[The Red Mist and Binah]&#10;At Star of the City, the Red Mist may appear as a special elite encounter. Binah becomes temporarily available for the fight. Victory records Binah for later battles and replaces normal rewards with the Red Mist's key and combat pages.&#10;&#10;[The Black Silence]&#10;Clear the Roland boss at Impuritas Civitatis once to record the Black Silence. Future Star of the City runs automatically add its key page to the route.&#10;&#10;[Argalia]&#10;Clear the Distorted Ensemble boss once to record Argalia. Future Star of the City runs automatically add his key and combat pages.","【붉은안개와 비나】&#10;도시의 별에서 붉은안개가 특수 정예전으로 등장할 수 있습니다. 전투 중 비나가 임시 개방되며, 승리하면 비나가 도감에 기록되어 이후 전투에서도 사용할 수 있습니다. 일반 보상 대신 붉은안개의 핵심/전투 책장을 얻습니다.&#10;&#10;【검은침묵】&#10;불순물의 롤랑 보스를 처음 클리어하면 검은침묵이 도감에 기록됩니다. 이후 도시의 별 루트에 핵심 책장이 자동 추가됩니다.&#10;&#10;【아르갈리아】&#10;잔향악단 보스를 처음 클리어하면 아르갈리아가 기록됩니다. 이후 도시의 별 루트에 핵심/전투 책장이 자동 추가됩니다."
"ui_RMR_Help_Close","关闭","Close","닫기"
"ui_RMR_Help_Nav_AbnoEgo","异想体 / E.G.O.","Abnormality / E.G.O.","환상체 / E.G.O."
"ui_RMR_Help_Nav_Atlas","图鉴系统","Compendium","도감 시스템"
"ui_RMR_Help_Nav_Goal","整体流程目标","Overall Run Goals","전체 여정 목표"
"ui_RMR_Help_Nav_Overview","基础流程","Core Flow","기본 흐름"
"ui_RMR_Help_Nav_Realization","解放战","Realizations","개방전"
"ui_RMR_Help_Nav_Rewards","关卡奖励","Stage Rewards","스테이지 보상"
"ui_RMR_Help_Nav_Route","路线与章节","Route &amp; Chapters","루트와 챕터"
"ui_RMR_Help_Nav_Shop","商店","Shop","상점"
"ui_RMR_Help_Nav_Special","特殊掉落与角色解锁","Special Drops &amp; Unlocks","특수 드롭과 캐릭터 해금"
"ui_RMR_Hub_Atlas","图鉴","Compendium","도감"
"ui_RMR_Hub_Continue","继续旅程","Continue Run","이어하기"
"ui_RMR_Hub_Exit","退出","Exit","종료"
"ui_RMR_Hub_ExitConfirm","是否返回图书馆？不会保留本次开局状态。","Return to the Library? This start session will not be kept.","도서관으로 돌아갈까요? 이 시작 세션은 보존되지 않습니다."
"ui_RMR_Hub_ExitNo","取消","Cancel","취소"
"ui_RMR_Hub_ExitYes","确认退出","Confirm","확인"
"ui_RMR_Hub_Help","玩法介绍","How to Play","플레이 소개"
"ui_RMR_Hub_Play","正常游玩","Normal Play","일반 플레이"
"ui_RMR_Hub_Realization","挑战解放战","Challenge Realization","개방전 도전"
"ui_RMR_Hub_Reset","重置永久进度","Reset Permanent Progress","영구 진행 초기화"
"ui_RMR_Hub_ResetConfirm","确认重置所有永久进度？&#10;将清空图鉴、解放战记录与特殊 Boss 首通记录。&#10;当前路线临时内容不会写回图鉴。","Reset all permanent progress?&#10;This clears the compendium, realization clears, and special first-clear records.&#10;Current-route temporary pages will not be written back.","모든 영구 진행을 초기화할까요?&#10;도감, 개방전 기록, 특수 보스 첫 클리어 기록이 삭제됩니다.&#10;현재 루트의 임시 내용은 도감에 다시 쓰이지 않습니다."
"ui_RMR_Hub_ResetDone","永久进度已重置。","Permanent progress has been reset.","영구 진행이 초기화되었습니다."
"ui_RMR_Hub_ResetNo","取消","Cancel","취소"
"ui_RMR_Hub_ResetYes","确认重置","Confirm Reset","초기화 확인"
"ui_RMR_HubDesc","可先挑战解放战以永久解锁奖励，或直接开始正常游玩。","Choose how to begin. Realization unlocks permanent rewards; Normal Play starts a run. Continue appears when a save exists.","개방전으로 영구 해금하거나 일반 런을 시작하세요. 저장 데이터가 있으면 이어하기가 표시됩니다."
"ui_RMR_HubFooter","Library of Ruina · Roguelike Mod Reborn","Library of Ruina 路 Roguelike Mod Reborn","Library of Ruina · Roguelike Mod Reborn"
"ui_RMR_HubTitle","Roguelike 开局","Roguelike Start","로그라이크 시작"
"ui_RMR_InventoryEmpty","当前层限制：没有可显示的战斗书页（更高章节或 E.G.O. 已过滤）。","Floor limit: no combat pages to show (higher chapter or E.G.O. filtered).","층 제한: 표시할 전투 책장이 없습니다 (상위 챕터 또는 E.G.O. 필터됨)."
"ui_RMR_ItemCatalog","商品目录","Item Catalog","물품 목록"
"ui_RMR_ItemNoEntry_Credenza","[当前无法进入]","[No entry for now.]","[현재 항목 없음]"
